id,time,address_as_recorded,reason,geocoded_as,lat,lon
"218","18:00","Swedish yard, Surrey, Commercial Docks, SE16","approx","Swedish yard, Surrey Commercial Docks, SE16, London, UK","51.4933","-0.0384"
"224","18:00","12 Jewel Street, Stepney E1","approx","12 Jewel Street, Stepney E1, London, UK","51.5159","-0.0477"
"226","18:00","Wapping Wall E1","postal district differs","Wapping Wall, St. George's Estate, Wapping, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.506632","-0.052751"
"228","18:00","Greenwich foot subway","district","London, UK","51.50821","-0.128147"
"232","18:00","8 Hibbert House, Glengall Grove, Millwall, E1","district","London, Greater London E1, UK","51.517623","-0.055755"
"233","18:00","332 Hibbert House, Glengall Grove, Millwall, E1","district","London, Greater London E1, UK","51.517704","-0.055898"
"246","18:02","Devon Street, SE1","district","London, Greater London SE1, UK","51.499207","-0.088006"
"252","18:02","Trundley's Road, Deptford, SE16","district","London, Greater London SE16, UK","51.499314","-0.041192"
"255","18:02","Thomas Road E14","manual","Placed by hand on Thomas Road, E14 (was geocoded to High Wycombe).","51.5168","-0.0238"
"258","18:03","Bolinn Road, Deptford, SE16","district","London, Greater London SE16, UK","51.499064","-0.041026"
"260","18:03","15-21 Hundson Road, Newcross, SE14","district","London, Greater London SE14, UK","51.475588","-0.043946"
"261","18:03","25, Upcott Street, SE15","district","London, Greater London SE15, UK","51.470327","-0.061524"
"262","18:03","Jeringham Road, Newcross, SE14","district","London, Greater London SE14, UK","51.475669","-0.044088"
"265","18:03","Burdett Road, E3","postal district differs","Burdett Road, Poplar, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.514778","-0.028499"
"273","18:04","North Atlantic Import Shed, Finland Yard Surrey, Commercial Docks, SE16","approx","North Atlantic Import Shed, Finland Yard Surrey, Commercial Docks, SE16, London, UK","51.503481","-0.035242"
"274","18:04","2 Hick Street, Rotherhithe, SE16","district","Rotherhithe, London Borough of Southwark, London SE16, UK","51.498883","-0.046916"
"277","18:04","4 Ainsworth Road, Hackney, E2","postal district differs","4 Ainsworth Rd, London, Greater London E9 7LP, UK","51.540303","-0.050762"
"278","18:04","North Woolwich Roads E","district","London, UK","51.50796","-0.127981"
"287","18:05","Old Gravel Lane, Wapping E1","district","London, Greater London E1, UK","51.517454","-0.055731"
"297","18:07","Childeric Road, Newcross, SE14, No's 21-61 and 10 40","district","London, UK","51.508294","-0.127802"
"298","18:07","Ruddigore Road, Newcross, SE14, No's 2-16 and 1-9 ","district","London, UK","51.508087","-0.128385"
"299","18:07","Ruddigore Road, Newcross, SE14, ","district","London, Greater London SE14, UK","51.475419","-0.043922"
"303","18:07","215 Brockley Road, Forest Hill, SE23","postal district differs","Brockley Road, New Cross Gate, London Borough of Lewisham, Greater London, London, England, SE4 2AG, United Kingdom","51.455305","-0.036827"
"307","18:07","Addington Road, Bow E3","postal district differs","Addington Road, Bow, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.528228","-0.023522"
"315","18:08","Stepney Green, E1","postal district differs","Stepney Green, St. George's Estate, Stepney, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.519534","-0.047236"
"316","18:08","Stepney Causeway, Stepney, E1","postal district differs","Stepney Causeway, St. George's Estate, Stepney, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.512248","-0.04508"
"317","18:08","Latimer Street, Stepney, E1","district","Stepney, London Borough of Tower Hamlets, London E1, UK","51.516066","-0.047867"
"325","18:10","15, Harford Street, Stepney E2","postal district differs","15 Harford St, London Borough of Tower Hamlets, E1, UK","51.519676","-0.039015"
"334","18:10","Harford Street E1","postal district differs","Harford Street, Stepney, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.520638","-0.039091"
"346","18:12","32, Devas Street, Poplar E14","postal district differs","Devas St, London Borough of Tower Hamlets, E3, UK","51.523181","-0.013461"
"350","18:13","Bow Road, Bow E3","postal district differs","Bow Road, Bow, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.527518","-0.023185"
"353","18:13","Commercial Rd, Poplar, Greater London E1","postal district differs","Commercial Road, Limehouse, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.512233","-0.029683"
"361","18:15","Woolwich Road, Charlton, SE10","postal district differs","Woolwich Road, Charlton, London Borough of Greenwich, Greater London, London, England, SE18, United Kingdom","51.489484","0.037313"
"366","18:15","Methodist Church, Stebondale Street, Cubitt Town E14. 151-163 Stebondale Street Cubitt Town E14. 100-124 Stebondale Street Cubitt Town E14","approx","Methodist Church, Stebondale Street, Cubitt Town E14. 151-163 Stebondale Street Cubitt Town E14. 100-124 Stebondale Street Cubitt Town E14, London, UK","51.4897","-0.0088"
"367","18:15","North Side, Import Dock, West India Docks E14","district","London, Greater London E14, UK","51.50975","-0.017595"
"368","18:15","Lying at North Side Import Dock, West India Docks E14","district","London, Greater London E14, UK","51.509831","-0.017737"
"369","18:15","Masters Street E1","postal district differs","Master's Street, Stepney, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.51927","-0.041235"
"372","18:15","Raine Street, Tower Hamlets, London E1W","postal district differs","Raine Street, St. George's Estate, Wapping, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.506598","-0.057958"
"373","18:16","272 New Cross Road, SE15","postal district differs","New Cross Road, Deptford, London Borough of Lewisham, Greater London, London, England, SE14, United Kingdom","51.475835","-0.032291"
"374","18:16","Aston Street E14","postal district differs","Aston Street, Limehouse, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.516305","-0.03861"
"383","18:18","45 Yatton street, Poplar, E14","district","Poplar, London, Greater London E14 6EZ, UK","51.511825","-0.021227"
"384","18:18","Commercial Rd, Poplar, Greater London E1","postal district differs","Commercial Road, Limehouse, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.512314","-0.029825"
"392","18:19","Tooke Street, Millwall E14","district","Millwall, London Borough of Tower Hamlets, London E14, UK","51.49767","-0.020534"
"393","18:19","11 Tooke Street, Millwall E14","district","Millwall, London Borough of Tower Hamlets, London E14, UK","51.497751","-0.020676"
"395","18:20","Import Dock, East India Docks, Poplar E14","district","Poplar, London, Greater London E14 6EZ, UK","51.511906","-0.021369"
"397","18:21","Eastern Dock, 10 Warehouse, London Dock, E1","district","London, Greater London E1, UK","51.517788","-0.055552"
"398","18:22","St. James' Church, St. James' Road, Newcross, SE14","district","London, Greater London SE14, UK","51.475753","-0.043743"
"403","18:24","24, Maria Street, Millwall E14","approx","24 Maria Street, Millwall E14, London, UK","51.5097","-0.0176"
"407","18:25","Harford Street, Stepney, E1","postal district differs","Harford Street, Stepney, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.520719","-0.039234"
"409","18:27","Town Hall, Newcross, SE14","district","London, Greater London SE14, UK","51.475546","-0.044325"
"422","18:28","104 Skidmore street. Stepney, E1","district","Stepney, London Borough of Tower Hamlets, London E1, UK","51.515816","-0.047701"
"426","18:30","141 Jeringham Road, Newcross SE14","district","London, Greater London SE14, UK","51.475444","-0.043582"
"427","18:30","150 Jeringham Road, Newcross SE14","district","London, Greater London SE14, UK","51.475872","-0.044068"
"428","18:30","165 Jeringham Road, Newcross SE14","district","London, Greater London SE14, UK","51.475306","-0.044181"
"429","18:30","Newcross Road, Opposite tram depot, Newcross SE14","district","London, Greater London SE14, UK","51.475704","-0.043434"
"430","18:30","146 Jeringham Road Newcross, SE14","district","London, Greater London SE14, UK","51.475725","-0.04448"
"432","18:30","123 St. Asaph's Rpad, Brokeley, SE4","district","London, Greater London SE4, UK","51.45969","-0.031841"
"434","18:30","8 Sevenoaks Road Crofton Park, SE4","district","London, Greater London SE4, UK","51.460118","-0.032327"
"449","18:31","4 Brandham Road, Lee SE12","district","Lee, London Borough of Lewisham, London SE12, UK","51.449403","0.013064"
"450","18:31","2 Brandham Road Lee SE12","district","Lee, London Borough of Lewisham, London SE12, UK","51.449301","0.013806"
"451","18:31","1 Brandham Road Lee SE12","district","Lee, London Borough of Lewisham, London SE12, UK","51.449729","0.01332"
"459","18:35","Blackheath SE10","district","Blackheath, Blackheath Village, Hither Green, London Borough of Greenwich, Greater London, London, England, SE10, United Kingdom","51.465497","0.009169"
"463","18:36","Narrow Street, Stepney E1","postal district differs","Narrow St, London Borough of Tower Hamlets, E14, UK","51.509243","-0.034985"
"464","18:37","Ormside Street, Camberwell, SE15","postal district differs","Ormside Street, New Cross Gate, London Borough of Southwark, Greater London, London, England, SE16, United Kingdom","51.483089","-0.055589"
"465","18:37","65 Drakefell Road, Brokeley, SE4","district","London, Greater London SE4, UK","51.459552","-0.032439"
"466","18:37","Sheridan Street Stepney E1","district","Stepney, London Borough of Tower Hamlets, London E1, UK","51.51615","-0.047522"
"474","18:40","Millwall Recreation Ground, E14","district","Poplar Recreation Ground (Stop D), Poplar, London Borough of Tower Hamlets, London E14, UK","51.511036","-0.017834"
"480","18:44","Vesey Street, Poplar E14","district","Vesey Path, Poplar, London, Greater London E14 6BT, UK","51.511887","-0.014134"
"492","18:47","Molassine Wharf, Greenwich, SE","district","London, UK","51.507985","-0.127641"
"493","18:47","Molassine Wharf, Greenwich, SE","district","London, UK","51.508413","-0.128128"
"495","18:50","Newcross Gate Railway Station, Newcross, SE14","district","London, Greater London SE14, UK","51.475244","-0.043687"
"496","18:50","1-6 Old Field Road, Rotherine, Se16","district","London, Greater London SE16, UK","51.499398","-0.040846"
"497","18:50","103 Skidmore Street, Stepney E1","district","Stepney, London Borough of Tower Hamlets, London E1, UK","51.515943","-0.048105"
"506","18:55","Alfred Street, Bow, E3","postal district differs","Alfred Street, Bow, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.528343","-0.026262"
"507","18:55","26 Ely Terrace, Stepney E1","approx","26 Ely Terrace, Stepney E1, London, UK","51.516","-0.048"
"512","18:58","Purcell Place, Hackney, E9","postal district differs","Purcell St, London Borough of Hackney, London N1, UK","51.532664","-0.081702"
"514","19:00","171, St. Asaph's Road, Brokerly SE4","district","London, Greater London SE4, UK","51.45995","-0.031693"
"516","19:00","Amesbury Avenue, Streatham, SW16","postal district differs","Amesbury Avenue, Streatham Hill, London Borough of Lambeth, Greater London, London, England, SW2 3TB, United Kingdom","51.437919","-0.121877"
"519","19:00","Pier Road, North Woolwich, E16","postal district differs","Pier Road, North Woolwich, London Borough of Newham, Greater London, London, England, SE18, United Kingdom","51.498521","0.059815"
"521","19:01","Furze Street E3","postal district differs","Furze Street, Poplar, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.518159","-0.02175"
"522","19:03","Eaton Place E9","postal district differs","Eaton Place, Knightsbridge, City of Westminster, Greater London, London, England, SW1X 8HU, United Kingdom","51.49712","-0.152603"
"523","19:05","Silk Mills Path, Lewisham SE13","district","Silk Mills Path, Deptford, London Borough of Lewisham, Greater London, London, England, SE13, United Kingdom","51.46573","-0.012069"
"525","19:06","60 Buckhill Road, Eltham, SE9","district","Eltham, Royal Borough of Greenwich, London, UK","51.451169","0.052639"
"526","19:06","Canadian Produce Warehouse, Swedish Yard, Surrey, Commercial Docks, SE16","approx","Canadian Produce Warehouse, Swedish Yard, Surrey, Commercial Docks, SE16, London, UK","51.503231","-0.035076"
"530","19:07","1 Pennyfields, London, UK Poplar, London E14 8","district","1 Pennyfields, Poplar, London Borough of Tower Hamlets, London E14, UK","51.509467","-0.025287"
"541","19:15","Canada yard, Surrey, Commercial Docks, SE16","approx","Canada yard, Surrey, Commercial Docks, SE16, London, UK","51.503565","-0.034897"
"543","19:17","Folly House Barge Roads, Blackwall Reach, E","district","London, UK","51.507847","-0.12824"
"549","19:25","Upper Quebec Yard, Surrey, Se16","district","London, Greater London SE16, UK","51.499191","-0.041429"
"553","19:25","Glengall Wharf, Millwall E14","district","Millwall, London Borough of Tower Hamlets, London E14, UK","51.497501","-0.02051"
"555","19:25","Lying at Lollar Wharf","district","London, UK","51.508245","-0.127493"
"559","19:36","Walker Street, E14","postal district differs","Walker Mews, London, Greater London SW2 1DA, UK","51.455656","-0.113203"
"560","19:43","3 Orchard Place, Blackheath, SE3","district","3 Orchard Dr, London, Greater London SE3 0QP, UK","51.468415","-0.0003"
"563","19:47","Canada yard, Surrey, Commercial Docks, SE16","approx","Canada yard, Surrey, Commercial Docks, SE16, London, UK","51.503358","-0.03548"
"569","20:01","Aberdeen Wharf 94 \Wapping High Street, Tower Hamlets, London E1W 2ND","district","London Borough of Tower Hamlets, London E1W 2ND, UK","51.502998","-0.058973"
"573","20:10","Timothy Road, Poplar, Greater London E3 4","district","London, UK","51.508266","-0.12854"
"578","20:38","Folly House Buoy, Blackwall Reach, E","district","London, UK","51.507785","-0.127746"
"584","20:42","5 Ethelred Strret SE11","district","London, Greater London SE11, UK","51.491302","-0.114407"
"591","20:43","Larcombe Street, SE17","district","London, Greater London SE17, UK","51.487381","-0.092372"
"598","20:46","Jeffreys Road, Clapham SW4","postal district differs","Jeffreys Road, Stockwell, London Borough of Lambeth, Greater London, London, England, SE11, United Kingdom","51.470907","-0.127397"
"599","20:47","Peel House, Regency St, Horseferry Road SW1","district","London, UK","51.508509","-0.127814"
"602","20:50","Lillington Street, Pimlico, SW1","district","London, UK","51.50792","-0.128583"
"606","20:50","Lydhurst Avenue, Streatham Hill, SW2","postal district differs","Lydhurst Avenue, Streatham Hill, London Borough of Lambeth, Greater London, London, England, SW16, United Kingdom","51.436977","-0.119195"
"607","20:50","Lydhurst Avenue, Streatham Hill, SW2","postal district differs","Lydhurst Avenue, Streatham Hill, London Borough of Lambeth, Greater London, London, England, SW16, United Kingdom","51.437059","-0.119337"
"608","20:50","Keymer Road, SW2","manual","Placed by hand on Keymer Road, SW2 (was geocoded to West Sussex).","51.4458","-0.1196"
"609","20:50","Faygate Road, SW2","manual","Placed by hand on Faygate Road, SW2 (was geocoded to Horsham).","51.4437","-0.1178"
"610","20:51","20 Albert Embankment, Se11","postal district differs","Albert Embankment, Vauxhall, London Borough of Lambeth, Greater London, London, England, SE1, United Kingdom","51.493989","-0.120928"
"611","20:51","Albert Embankment, SE11","postal district differs","Albert Embankment, Vauxhall, London Borough of Lambeth, Greater London, London, England, SE1, United Kingdom","51.49407","-0.12107"
"618","20:53","38 Collingtree Road, SE26","postal district differs","Collingtree Road, Sydenham, London Borough of Lewisham, Greater London, London, England, SE23, United Kingdom","51.429258","-0.056785"
"619","20:53","43 Ellerslie Square, Clapham SW4","district","Clapham, London Borough of Lambeth, London SW4, UK","51.46231","-0.13857"
"627","20:55","Putney Heath, Putney SW15","district","Putney Heath, Southfields, London Borough of Wandsworth, Greater London, London, England, SW15 3JN, United Kingdom","51.453579","-0.220746"
"629","20:56","31 Parkhouse Street, Peckham SE15","postal district differs","Parkhouse Street, Burgess Business Park, Walworth, London Borough of Southwark, Greater London, London, England, SE5, United Kingdom","51.480549","-0.086894"
"639","20:57","Richmond Park, Roehampton, SW15","district","Roehampton, London Borough of Wandsworth, London SW15, UK","51.453886","-0.245483"
"640","20:57","9 Colworth Grove, Browing Street, SE17","district","London, Greater London SE17, UK","51.487462","-0.092514"
"641","20:57","Hayles Stret. St. George's Road, SE11","postal district differs","St George's Rd, London Borough of Southwark, London SE1, UK","51.496476","-0.105704"
"642","20:57","Colworth Grove, Browinging Street SE17","district","London, Greater London SE17, UK","51.487212","-0.092348"
"646","20:58","4g, Chapter Strret, Westminster SW1","district","London, UK","51.508036","-0.127326"
"651","20:59","Morval Road, Brixton, SW2","postal district differs","Morval Road, Stockwell, London Borough of Lambeth, Greater London, London, England, SE24, United Kingdom","51.45601","-0.112604"
"657","21:00","29 Tyrell Road, East Dulwich, SE2","district","London, Greater London SE2, UK","51.488678","0.11146"
"663","21:00","Burdett Road, E3","postal district differs","Burdett Road, Poplar, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.514859","-0.028642"
"664","21:01","12 Kingsmead Road, Streatham, SW16","postal district differs","Kingsmead Road, Streatham Hill, London Borough of Lambeth, Greater London, London, England, SE24, United Kingdom","51.437914","-0.112896"
"665","21:01","Turguand Street, Walworth, SE17","district","Walworth, London Borough of Southwark, London SE17, UK","51.489876","-0.092897"
"668","21:03","41 Church Road, Brixton, SW2","approx","41 Church Road, Brixton, SW2, London, UK","51.4452","-0.1095"
"670","21:03","Acland Street and Acland Street Streatfild Street","district","London, UK","51.508496","-0.12842"
"672","21:05","Harrow Road, w2","postal district differs","Harrow Road, Sudbury Hill, London Borough of Brent, Greater London, London, England, W13, United Kingdom","51.55306","-0.31405"
"673","21:05","42 Norman Road, Greenwich, SE10","postal district differs","Norman Road, Deptford, London Borough of Greenwich, Greater London, London, England, E14, United Kingdom","51.47799","-0.01766"
"675","21:05","218 Leigham Court Road, Streatham, Sw16","postal district differs","Leigham Court Road, Streatham, London Borough of Lambeth, Greater London, London, England, SW2 4RT, United Kingdom","51.43621","-0.124899"
"678","21:07","Crownstone Road, Brixton, SW2","postal district differs","Crownstone Road, St Matthew's Estate, Stockwell, London Borough of Lambeth, Greater London, London, England, SE24, United Kingdom","51.456959","-0.115126"
"679","21:09","Longfellow Road e3","manual","Placed by hand on Longfellow Road, E3 (was geocoded to Gillingham).","51.5262","-0.0398"
"681","21:10","Riverside Greenwich SE10","district","Riverside, Silvertown, London Borough of Greenwich, Greater London, London, England, E16, United Kingdom","51.493493","0.026866"
"682","21:10","Parkhouse Street, Peckham, SE15","postal district differs","Parkhouse Street, Burgess Business Park, Walworth, London Borough of Southwark, Greater London, London, England, SE5, United Kingdom","51.48063","-0.087036"
"683","21:10","Maudsley Hospital, Denmark Hill, Southwark, London SE5 8AZ","district","London SE5 8AZ, UK","51.468739","-0.09144"
"687","21:10","Hillside Road, Tulse Hill, SW2","postal district differs","Hillside Road, Streatham Hill, London Borough of Lambeth, Greater London, London, England, SE24, United Kingdom","51.438534","-0.115811"
"690","21:13","45 Furthergreen Road, Catford, SE13","district","London, Greater London SE13, UK","51.457212","-0.005853"
"693","21:13","County Grove SW5","manual","Recorded as 'County Grove SW5'; placed on County Grove, Camberwell SE5, which fits the Lambeth Borough Council note. Was geocoded to Kent.","51.4752","-0.0985"
"694","21:13","County Grove SW5","manual","As #693: County Grove, Camberwell SE5.","51.475281","-0.098642"
"695","21:16","Longfellow Road e3","manual","Placed by hand on Longfellow Road, E3 (was geocoded to Gillingham).","51.526281","-0.039942"
"696","21:21","Sandmere Road, Clapham, SW4","postal district differs","Sandmere Road, Stockwell, London Borough of Lambeth, Greater London, London, England, SW9 9NN, United Kingdom","51.462406","-0.12649"
"697","21:29","Acre Lane, Brixton, SW2","postal district differs","Acre Lane, Stockwell, London Borough of Lambeth, Greater London, London, England, SE24, United Kingdom","51.460007","-0.122362"
"700","21:32","253 Leigham Court Road, Streatham, SW16","postal district differs","Leigham Court Road, Streatham, London Borough of Lambeth, Greater London, London, England, SW2 4RT, United Kingdom","51.436291","-0.125041"
"702","21:35","Clinton Road, Tower Hamlets London E3","postal district differs","Clinton Road, Stepney, London Borough of Tower Hamlets, Greater London, London, England, SE16, United Kingdom","51.526602","-0.036834"
"703","21:37","Southwark, London SE1","district","London, Greater London SE1, UK","51.499288","-0.088148"
"716","21:51","Brixton Road, Brixton SW9","postal district differs","Brixton Road, Stockwell, London Borough of Lambeth, Greater London, London, England, SE24, United Kingdom","51.462245","-0.11522"
"717","21:51","Brixton Road, Brixton SW9","postal district differs","Brixton Road, Stockwell, London Borough of Lambeth, Greater London, London, England, SE24, United Kingdom","51.462326","-0.115362"
"726","22:05","Lying at Pipers Wharf, Riverside, Greenwich, SE10","district","Greenwich, Royal Borough of Greenwich, London, UK","51.483061","-0.004151"
"730","22:13","Lower Buoy, Limehouse Reach E","district","London, UK","51.507668","-0.128101"
"735","22:30","38 Hundson Road, Newcross SE14","district","London, Greater London SE14, UK","51.475968","-0.043755"
"736","22:30","Greenfield Street, Deptford, SE8","district","Deptford, London Borough of Lewisham, London SE8, UK","51.480809","-0.025904"
"746","22:47","Trinity Wharf Buoy, Limehouse Reach. E.","district","London, UK","51.508438","-0.127416"
"747","22:47","Rotherhithe Wharf, Rotherhithe Street, lower Pool, S.E","district","London, UK","51.508149","-0.128799"
"748","22:47","Rotherhithe Wharf, Rotherhithe Street, lower Pool, S.E","district","London, UK","51.50777","-0.127425"
"749","22:54","Commercial Dock Pier, Rotherhithe Street, Limehouse Reach, S.E","district","London, UK","51.508651","-0.128044"
"750","22:54","Commercial Dock Pier, Rotherhithe Street, Limehouse Reach, S.E","district","London, UK","51.507717","-0.128557"
"755","22:57","114 Lower March, Lambeth, Se11","district","London, Greater London SE11, UK","51.491383","-0.114549"
"756","22:58","30 Rashmore Road, Charlton, SE7. 28","district","London, UK","51.508203","-0.127129"
"762","23:00","66 Hundson Road, Newcross, SE14","district","London, Greater London SE14, UK","51.475379","-0.044523"
"769","23:05","Strand WC2","district","Strand, City of Westminster, London, UK","51.510479","-0.120968"
"771","23:08","107-111, Newington Butts, SE11","district","Newington Butts, Elephant & Castle, London Borough of Lambeth, Greater London, London, England, SE1 6SQ, United Kingdom","51.490945","-0.103841"
"772","23:08","133-139 Newington Butts, SE11","district","Newington Butts, Elephant & Castle, London Borough of Lambeth, Greater London, London, England, SE1 6SQ, United Kingdom","51.491026","-0.103983"
"773","23:08","141, Newington Butts, SE11","district","Newington Butts, Elephant & Castle, London Borough of Lambeth, Greater London, London, England, SE1 6SQ, United Kingdom","51.490776","-0.103817"
"774","23:08","129-131, Newington Butts, SE11","district","Newington Butts, Elephant & Castle, London Borough of Lambeth, Greater London, London, England, SE1 6SQ, United Kingdom","51.49111","-0.103638"
"776","23:08","86-102 Newington Butts, SE11","district","Newington Butts, Elephant & Castle, London Borough of Lambeth, Greater London, London, England, SE1 6SQ, United Kingdom","51.490904","-0.104221"
"777","23:08","147 Walworth Road, SE17","postal district differs","Walworth Road, Elephant & Castle, London Borough of Southwark, Greater London, London, England, SE1 6TB, United Kingdom","51.493225","-0.099942"
